name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,species,description
Palpatine,170,75,grey,pale,yellow,82BBY,male,Naboo,Human,"Palpatine, also known as Darth Sidious, was a Force-sensitive Human male who served as the last Supreme Chancellor of the Galactic Republic and the first Emperor of the Galactic Empire. A Dark Lord of the Sith in the Order of the Sith Lords, recorded by history as the most successful who had ever lived, his deeds resulted in overthrow the ancient Republic and the noble Jedi Order from within. Noted for his sadistic and self-serving intentions just as well as his ability to conceal them, Palpatine impacted the galaxy perhaps more than any other single individual, and it is likely that his impact on history, for good or ill, was immeasurable.
Born in 82 BBY on the planet Naboo to the aristocratic House Palpatine, Palpatine discovered the Sith at a young age as a collector of dark side artifacts. In 65 BBY, he met Hego Damask, a Muun businessman who was in reality the Sith Lord Darth Plagueis. Under Plagueis's manipulation, Palpatine killed his father and pledged himself to his new Master's dark side teachings as Darth Sidious. Palpatine lived a double life for many years, serving an untarnished career as Naboo's ambassador in the Galactic Senate while learning from his master and training a young Zabrak as the Sith assassin Darth Maul. Plagueis and Sidious, both exceptionally skilled and powerful in the Force, were able to conceal their identities from the Jedi for decades. As Plagueis privately searched for the key to eternal life, Sidious manipulated galactic politics, culminating in the blockade of Naboo by the Trade Federation. In the wake of the political crisis, the Galactic Senate voted to elect him as Supreme Chancellor, and around the same time, in accordance with Bane's Rule of Two, Sidious murdered Plagueis and usurped the role of Sith Master.
As Chancellor of the Republic and Dark Lord of the Sith, Palpatine orchestrated the outbreak of the devastating Clone Wars ten years after the Naboo Crisis. He himself headed both the Galactic Republic and, secretly, the Confederacy of Independent Systems. The public leader of this splinter faction was former Jedi Master Count Dooku, Sidious's second apprentice as Darth Tyranus in the wake of Maul's presumed death on Naboo. As billions perished in the war, the vast majority of Republic citizens rallied behind Chancellor Palpatine, giving him enough support to amend the Galactic Constitution in the name of security and transfer most of the Senate's executive authority to his own office. In 19 BBY, following Tyranus' demise, Palpatine revealed his identity as Darth Sidious to the Jedi Knight Anakin Skywalker, telling that the dark side teachings that Plagueis had pursued could help Skywalker to save his wife, whom Skywalker had foreseen dying untimely. A failed attempt by the Jedi High Council to arrest Palpatine ensued, and Skywalker pledged himself to Sidious' teachings as Darth Vader. All members of the Jedi Order were accused of treason and betrayed by their clone troopers to the point of virtual extermination. Without the Jedi to oppose him, Sidious declared himself Emperor of the first Galactic Empire, bringing an end to the Republic that had stood for over 25,000 years.
As Emperor, Sidious effectively wielded absolute control over the entire galaxy and virtually everyone who lived within it. During his tenure, he built one of the most powerful military forces the galaxy had ever seen and ruled unopposed for nearly two decades. Sidious progressively abandoned his facade of being an enlightened leader and began to rule through terror symbolized by the Death Star, a superweapon that could annihilate entire planets. However, he later discovered that Vader was training Galen Marek, an exceptionally powerful Force adept as a secret apprentice ""Starkiller."" When Sidious discovered Starkiller's existence in 3 BBY, he ordered Vader to fake Starkiller's death and then request that Starkiller assemble the most influential traitors in the Empire in a rebellion in order to highlight and destroy them all. Sidious's plan backfired when Starkiller, healed from his near-fatal injuries and espousing the teachings of the light side, vowed revenge against Sidious and confronted him on the Death Star, ultimately sacrificing himself in an act that inspired the dissident senators to create the Alliance to Restore the Republic. As the Galactic Civil War broke out, Emperor Palpatine ironically fought against a rebellion that he started in secret. After the Empire suffered a devastating defeat in 0 BBY, in which the Alliance destroyed the Death Star, the Emperor steadily began to lose his absolute control over the galaxy.
In 4 ABY, Sidious gambled his chances in order to annihilate the Rebel Alliance once and for all, allowing Rebel spies to learn of the existence of a second Death Star and its secret location near Endor. As expected, the Alliance fell for the bait and dispatched its fleet to destroy the Emperor, Vader, and the incomplete Death Star. With the Alliance soon falling for his trap, Sidious brought Luke Skywalker, the son of Darth Vader, before him in order to turn him over to the dark side and replace Vader with an apprentice who was younger and more powerful. After goading Skywalker to give into his frustrations with thoughts of the Alliance's defeat and the death of his friends, the Dark Lord eagerly watched as father and son fought one another. However, Skywalker refused to submit to the dark side and spared his father, prompting Sidious to unleash all of his rage and hatred on Skywalker. Unwilling to stand by and watch his son die from the agonizing effects of Sidious' Force lightning, Anakin Skywalker finally redeemed himself, throwing his astonished Master down the Death Star's shaft, a sacrifice that fulfilled the prophecy of the Chosen One and brought about the end of the Order of the Sith Lords.
Throughout the rest of the Galactic Civil War, the remnants of the Empire experienced a sharp decline while the Alliance reformed itself into the New Republic. However, Sidious did not stay dead, and eventually used a rare and ancient Force technique to transfer his spirit into one of many clone bodies stored on the Deep Core world of Byss. In 10 ABY, Darth Sidious resurfaced in the galaxy in a bid to rebuild his Empire, temporarily converting Luke Skywalker to the dark side and installing him as his apprentice. Sidious's efforts to live forever, however, were undermined by subversives within his own inner circle, including his Royal Guard Carnor Jax. With the last supplies of healthy clone bodies sabotaged and their genetic source material contaminated by his allies, Sidious desperately tried to take over the body of Darth Vader's youngest grandchild, the infant Anakin Solo, in 11 ABY. Sidious's spirit, however, was intercepted by the dying Jedi Knight Empatojayos Brand, who dragged the Dark Lord down into the depths of the Force forever, though his legacy continued to live for countless years."
Boba Fett,183,78.2,black,fair,brown,31.5BBY,male,Kamino,Human,"Boba Fett was a Mandalorian warrior and bounty hunter. He was the only unaltered clone of the famed Jango Fett, created in 32 BBY as unit A0050, one of the first of many Fett replicas designed to become part of the Grand Army of the Republic, and was raised as Jango's son. Jango taught Boba much, training him to become a skilled bounty hunter as was his father-figure before him. In 22 BBY, Jango was killed at the Battle of Geonosis, which opened the Clone Wars. Just a boy, Boba was forced to grow up and took to traveling the galaxy. Later, he became a bounty hunter and took assignments from beings such as Jabba the Hutt, and achieved notoriety despite his young age.
When the Empire was formed in 19 BBY, it was the perfect environment for Fett. During this time, he also married Sintas Vel and had a daughter named Ailyn Vel. Fett became known as the galaxy's best bounty hunter of the next several decades, often working for the Empire. He collaborated with Darth Vader on several occasions, and the Sith Lord even developed a grudging respect for Fett.
In 1 BBY, a year after the Galactic Civil War had begun, Fett was hired to kidnap the Rebel captain Juno Eclipse in order to lure out a clone of Galen Marek. Fett also participated in the Battle of Kamino. When Darth Vader was captured and about to be interrogated on Dantooine, the Mandalorian bounty hunter trailed the Rogue Shadow there.
Fett made his most notable bounty in 3 ABY, when he captured Rebel hero Han Solo, and delivered him to Jabba the Hutt. A year later, during the Battle of the Great Pit of Carkoon, Fett fought against the group of Rebel rescuers. He was inadvertently knocked into the mouth of the Sarlacc by Solo. Though no one in recorded history had ever escaped from the Sarlacc, Fett was able to escape, though not unscathed. Thanks to his iron will and Mandalorian armor, he was able to fight his way out of the beast's belly. Back in action, he resumed his work as a bounty hunter.
After a promise made to a dying Fenn Shysa, Fett became Mandalore and eventually led the Mandalorians through the Yuuzhan Vong War. Originally working as a mercenary for the extra-galactic invaders, Fett later aided the New Republic in their battle against the aliens. When the Yuuzhan Vong assaulted Mandalore and bombarded the planet's surface, a large deposit of Mandalorian iron was unearthed, ironically helping to strengthen the Mandalorians.
Later, during the Second Galactic Civil War, Boba, who was still leading the Mandalorians, was plagued by ailing health. He found his granddaughter, Mirta Gev, and the two went on many missions together, even alongside Han Solo. Fett also trained Solo's daughter Jaina to kill her twin brother, Darth Caedus, and assisted the Jedi Coalition in several battles. Ultimately, Fett's training helped Jaina bring down Caedus, though an Imperial nanovirus attack prevented Fett from ever returning to Mandalore."
IG-88,200,140,none,metal,red,15BBY,none,NA,Droid,"IG-88, also known as IG-88B, or as a Phlutdroid, was a rogue, deadly masculine IG-series assassin droid manufactured by Holowan Laboratories who worked as a bounty hunter. Following the Battle of Hoth, he and several other bounty hunters were summoned by Darth Vader to the Executor and hired to track down the Millennium Falcon and her Rebel crew. Unable to track his quarry, IG-88 trailed his chief rival, Boba Fett, to Bespin, where the bounty hunter nearly destroyed the assassin droid, however IG-88 managed to survive. At some point IG-88 undertook a software infiltration into Death Star II, but his plan was single-handedly thwarted by R2-Q5. The droid later met with mercenary Bazine Netal to speak about the location of the Millennium Falcon."
Bossk,190,113,none,green,red,53BBY,male,Trandosha,Trandoshan,"Bossk (whose name meant ""devours his prey"" in Dosh) was a male Trandoshan bounty hunter who was the pilot of the Hound's Tooth and held the title of monarch of the Qotile system.[5] He was also an old enemy and rival for Chewbacca and his Human partner Han Solo. He would face them several times, and would unsurprisingly be one of the six bounty hunters Darth Vader hired to track down and capture the Millennium Falcon. Despite the fact that Bossk loved to hunt and skin Wookiees, he would unknowingly aid in the freeing of hundreds of Wookiee slaves on the island world of Lomabu III. He was also a frequent partner and foe of both Boba Fett and Zuckuss, both fellow bounty hunters. After being repeatedly beaten by Boba Fett, Bossk would eventually boost his reputation as a bounty hunter by defeating Fett on Tatooine."
Lando Calrissian,177,79,black,dark,brown,31BBY,male,Socorro,Human,"Lando Calrissian was a Human male professional gambler, entrepreneur, smuggler, and general throughout various points in his life. Born on Socorro, he became a gambler and con man early in his life and acquired his own ship, the Millennium Falcon, in a game of sabacc with a man named Cix Trouvee. He went on to have numerous adventures with the Falcon and its piloting droid, Vuffi Raa, during which he ran afoul of a Sorcerer of Tund named Rokur Gepta, whom Calrissian eventually killed. After a series of events led to him losing the Millennium Falcon to a Corellian named Han Solo on Bespin, Calrissian eventually became the Baron Administrator of Cloud City for a time—a position he once again gained through sabacc.
In 3 ABY, Cloud City was taken over by the Galactic Empire during the Galactic Civil War as part of a deal gone wrong. Calrissian had previously agreed to turn over a group of Rebels to the Empire, including Han Solo and Leia Organa, as part of bait for a trap for Jedi Luke Skywalker. However, Darth Vader altered the deal to the point where Calrissian felt he was no longer able to tolerate it. Subsequently, he joined the Rebel Alliance and took part in numerous missions on its behalf; in particular, in search for Han Solo, who had been frozen in carbonite due to Calrissian's betrayal on Bespin. Calrissian eventually participated in Solo's rescue and the defeat of Jabba the Hutt. Following Solo's rescue, Calrissian continued to serve with the Alliance and during the Battle of Endor in 4 ABY, Calrissian piloted his old ship, the Millennium Falcon, into the second Death Star's core to destroy its reactor.
Afterward, he continued to serve the newly formed New Republic in times of need, but spent most of his time pursuing various business ventures, specializing in mining. A venture on the sun-baked world of Nkllon was soured by multiple attacks from the Empire under Grand Admiral Thrawn, but Calrissian invested in a number of other entrepreneurial plans, including mining operations on Varn and Kessel. In 18 ABY, Calrissian met and fell in love with Tendra Risant, marrying her soon after the Bastion Accords were signed. During the Yuuzhan Vong War, Calrissian aided the New Republic through his leadership and the YVH 1 droids that his company, Tendrando Arms, produced to combat the extragalactic invaders. He also helped to arrange the election of Cal Omas as Chief of State following the New Republic's reorganization into the Galactic Alliance.
Calrissian, along with his wife Tendra, continued to manage Tendrando Arms following the war. His YVH droids played significant roles in the subsequent Dark Nest Crisis, Swarm War, and Second Galactic Civil War. During the latter conflict, Calrissian aided his friends Han and Leia Solo in their efforts against their son Jacen Solo, who had fallen to the dark side and become a Sith, until Calrissian was informed that Tendra was pregnant; he then spent the rest of the war with her. After the war's conclusion, Calrissian settled down with Tendra in a life of quiet luxury, managing Tendrando Arms and raising his son, Lando Calrissian, Junior. He was later contacted by Luke Skywalker for assistance during a mission to the Maw with Skywalker's Sith allies. Calrissian reluctantly agreed, and successfully carried out the mission. Afterward, he returned to Coruscant and warned the Jedi of not only the danger posed by the Sith, but also the hidden menace which Skywalker and the Sith were pursuing. To that end, he assisted in getting a large number of Jedi StealthX wing starfighters offworld to assist the Skywalkers."
Lobot,175,79,none,light,blue,37BBY,male,Bespin,Human,"Lobot, also known by the nickname Lo, was a male human from the planet Bespin who, with the assistance of his AJ^6 cyborg construct, was paid to run battlefield calculations for the Galactic Empire. However, he eventually began working with the smuggler Lando Calrissian aboard the Millennium Falcon, running numerous criminal jobs. During one job, the theft of the Emperor's personal yacht, Lobot was gravely wounded by an Imperial Guard. In his injured state, Lobot's mind was lost and his cybernetic implants took over. In the time to come, Calrissian became Baron Administrator of Cloud City on Lobot's homeworld of Bespin, and Lobot served as his aide and chef. As the city's computer-liaison officer, his implants enabled him to communicate with the city's central network. During the Empire's takeover of Cloud City, Lando ordered Lobot to gather their security forces to outflank the stormtroopers. Although they successfully helped evacuate the city by rounding up the stormtroopers, the city soon fell to the Empire and Lobot was captured. Following the Empire's defeat at the Battle of Endor, Imperial Governor Ubrik Adelhard tightened his grip on the Anoat sector, home to Bespin, forming the Iron Blockade. Receiving support from the New Republic, Lobot fought to liberate his homeworld. "
Ackbar,180,83,none,brown mottle,orange,41BBY,male,Mon Cala,Mon Calamari,"Gial Ackbar was a veteran male Mon Calamari soldier and strong revolutionary leader during the Clone Wars, the Galactic Civil War, the Cold War, and the war between the Resistance and the First Order. Throughout his sixty years of service, Ackbar was regarded as a brilliant tactician.
Ackbar was captain of the Mon Calamari Guard during the Clone Wars and fought in the Battle of Mon Cala, in which he helped to secure Prince Lee-Char's ascent as King of Mon Cala and repel the Confederacy of Independent Systems. After the rise of the Galactic Empire, Ackbar became the foremost military commander in the Alliance to Restore the Republic, emerging as a symbol of defiance against the Empire's subjugation of non-humans. His presence attracted Mon Calamari support for the Alliance, thus supplying the Mon Calamari star cruisers that made up a bulk of the Alliance Fleet.
From his command ship of Home One, supreme commander Ackbar acted as the fleet commander during the Battle of Endor, in which the Alliance successfully mounted an attack that led to the destruction of the Empire's second Death Star and the death of Emperor Palpatine. After the Battle of Endor, the Alliance formed the New Republic. Ackbar became a fleet admiral of the New Republic Defense Fleet and led the Republic to its victory over the Empire during the Battle of Jakku. After the battle on Jakku ended, the Empire retreated into the Unknown Regions and Ackbar retired to Mon Cala.
By 34 ABY, the emerging threat of the First Order, which arose from the ashes of the Empire, led Princess Leia Organa to form the Resistance without the support of the Republic that had turned a blind eye to the First Order. Organa, the general of the Resistance, coaxed Ackbar out of his retirement to serve in the Resistance. After reclaiming his commission as an Admiral, Ackbar served in the Resistance base on D'Qar, where he helped oversee the battle to destroy the First Order superweapon known as Starkiller Base.
Ackbar was later present on the bridge of the Resistance's flagship the Raddus when the Resistance evacuated from D'Qar, but he was killed when two First Order TIE/sf space superiority fighters attacked the ship after it exited hyperspace."
Mon Mothma,150,NA,auburn,fair,blue,48BBY,female,Chandrila,Human,"Mon Mothma was a human female politician and revolutionary leader who served in the Galactic Senate and Imperial Senate as the representative of Chandrila, the leader of the Alliance to Restore the Republic, and the first Chancellor of the New Republic. Mothma came to political prominence during the Separatist Crisis and the Clone Wars when, along with such allies as Senators Bail Organa and Padmé Amidala, she became an outspoken proponent of peace between the Galactic Republic and the Confederacy of Independent Systems. She also spoke out against the increase in executive power given to Supreme Chancellor Palpatine, who transformed the Republic into the Empire at the war's end.
Mothma worked with Organa and other allies to plant the seeds of rebellion against the Imperial regime. Mothma left the Senate after publicly denouncing Emperor Palpatine, which was soon followed by the establishment of the Rebel Alliance. Mothma sanctioned the recruitment of Jyn Erso, who led the Rogue One squadron in stealing the Death Star plans during the Battle of Scarif. After the Battle of Yavin saw the destruction of the Death Star, Mothma led the Alliance through the Galactic Civil War. The Battle of Endor, which Mothma helped plan with the Alliance High Command, saw the first death of Emperor Palpatine and left the Empire in chaos.
In Endor's aftermath, the Rebellion formed the New Republic and headquartered the new Galactic Senate on Chandrila. Mothma was elected as the first chancellor of the New Republic Senate and intended to do away with Palpatine's emergency powers, which the Senate gave to the office of the New Republic chancellery. She also intended to demilitarize the Republic, hoping to cut the New Republic Defense Fleet by ninety percent while leaving the defense of member worlds to the worlds themselves. When the war with the Empire finally came to end, the Republic and the Imperial remnants signed the Galactic Concordance and the Republic passed the Military Disarmament Act. The end of Mothma's chancellery brought a close to a period of unity in the Republic, with several political factions, such as the Centrists and the Populists, breaking out in disagreement over the best future for the new government."
Arvel Crynyd,NA,NA,brown,fair,brown,NA,male,NA,Human,"Arvel Crynyd was a male human pilot who served in the Alliance to Restore the Republic during the Galactic Civil War. In the war's fourth year, Commander Crynyd participated in the Rebellion's attack on the Galactic Empire's second Death Star in the Battle of Endor, flying an RZ-1 A-wing interceptor in Green Squadron as leader of the squadron. When Crynyd was killed during the battle in a suicide run to destroy the Super Star Destroyer Executor, Lieutenant L'ulo L'ampar assumed command of the squadron. The battle ended soon after, seeing the destruction of the Death Star and death of Galactic Emperor Sheev Palpatine.
Arvel Crynyd was a male human who flew as a Z-95 Headhunter pilot for a Thyferran bacta cartel before joining the Alliance to Restore the Republic.[3] With the Alliance, he fought in the Galactic Civil War, a galaxy-wide conflict between the Alliance and the Galactic Empire.[2] Holding the rank of commander,[4] Crynyd flew as a pilot in Green Squadron, operating an RZ-1 A-wing interceptor[2] In 4 ABY,[1] after the Bothan spynet discovered that Galactic Emperor Sheev Palpatine would be aboard the second Death Star to oversee its construction, Alliance High Command determined that launching an immediate assault on the space station would be their only chance to cripple the Empire.
With the full Alliance Fleet, Crynyd, under the callsign of Green Leader, exited hyperspace above the forest moon of Endor, approaching the superweapon in his A-wing. He was the last squadron leader to report stand-by status and prepared to attack the Death Star, but pulled up at the last second on General Lando Calrissian's orders when it was revealed that the shield was still up. Green Squadron was ordered to stick close to Sector MV-7 as a massive flotilla of Star Destroyers emerged from the other side of the moon. The Alliance had walked right into a trap, but were determined to go down fighting. Initially, both sides fought with only their starfighters to the rebels' confusion, but this turned to horror when the Death Star proved itself to be fully operational, firing its superlaser on the Mon Calamari Star Cruiser Liberty and reducing it to atoms. Following the advice of Calrissian, the remaining Rebel forces moved up alongside the Star Destroyers and fought at point-blank range, hoping the Death Star wouldn't dare shoot into its own fleet.
When the shield protecting the Death Star was disabled, several fighters broke off and headed for it to destroy the reactor. To buy them time, Crynyd and his squadron attacked the Imperial flagship, the mighty Super Star Destroyer Executor, with two A-wings knocking out its bridge deflector shields. In response, Admiral Firmus Piett ordered the forward batteries to increase forward firing to prevent any window of opportunity from being exploited. As Crynyd attempted a trench run through the ship's superstructure, his fighter was struck by a laser bolt and spun wildly. Realizing he was doomed, Crynyd managed to wrestle what little control he had over his starfighter and put it on a collision course with the Executor's unshielded bridge tower. Letting out one last cry of defiance, Crynyd's ship crashed through the bridge windows and exploded, killing himself alongside Piett and the entire bridge crew.
Without its command structure, the Executor lost primary power and plunged into the Death Star's gravity well, colliding with the station and detonating in a massive fireball. Crynyd's sacrifice tipped the battle in the Alliance's favor, with the Death Star being destroyed shortly after
"
Wicket Systri Warrick,88,20,brown,brown,brown,8BBY,male,Endor,Ewok,"Wicket Wystri Warrick was a male Ewok scout, warrior and later Chief of Bright Tree Village on the forest moon of Endor. The great-grandson of Erpham Warrick, Wicket was the third son of Deej and Shodu Warrick, following Weechee and Willy and was the older brother of Winda.
Wicket led an adventurous life, even from a very young age. He and his friends, namely Teebo and Princess Kneesaa, continually protected their village and the surrounding forest from those who would do them harm, such as Morag the Tulgah witch, the Duloks, and other threats from Endor and beyond. He almost even inadvertently killed Emperor Palpatine while defending the sunstar during Doctor Raygar's quest for Imperial domination.
Wicket aided the Towani family when they crash-landed on Endor and later assisted Noa Briqualon in the battle against the Sanyassans. Wicket also played an instrumental role in helping the Rebel Alliance defeat the Galactic Empire during the Battle of Endor. After the death of Chief Chirpa, Wicket and his bride, Kneesaa, ruled over Bright Tree Village together."
Nien Nunb,160,68,none,grey,black,NA,male,Sullust,Sullustan,"Nien Nunb was a Sullustan male arms dealer and smuggler who joined the Alliance to Restore the Republic during the Galactic Civil War. Shortly after the Battle of Yavin, Nunb answered the call from his friend, Rebel pilot Evaan Verlaine, to help smuggle a group of Alderaanians off of Sullust while avoiding detection from the Galactic Empire; the Empire was searching for surviving Alderaanians after Death Star I blew up its first planet, Alderaan. He went on to further assist Verlaine and Princess Leia Organa in their mission to unite the surviving Alderaanians, during which time he helped Organa escape from potential Imperial captivity.
Only a few years later, Nunb became part of the Alliance Fleet and flew as the co-pilot for General Lando Calrissian aboard the Millennium Falcon during the Battle of Endor. Together, they fought against Imperial forces while attempting to destroy the DS-2 Death Star II Mobile Battle Station in orbit of the forest moon of Endor. Their battle was a success, and the Millennium Falcon fired the shot that destroyed the second Death Star and delivered a devastating blow to the Galactic Empire.
Three decades later, Nunb was a starfighter pilot with the military rank of Lieutenant Commander in the Resistance and fought in the Cold War, including the Battle of Starkiller Base. After the Battle of Crait Nunb was left as one of the few surviving Resistance members and successfully escaped with the remainder of the Resistance. One year later, in 35 ABY Nunb fought in the decisive battle against the Sith Eternal piloting the Tantive IV alongside Urcos Furdam. However, during the battle, the Tantive IV was disabled by Darth Sidious' massive burst of Force lightning and Nunb perished."
Qui-Gon Jinn,193,89,brown,fair,blue,92BBY,male,NA,Human,"Qui-Gon Jinn was a Force-sensitive highly respected, yet maverick and unconventional Human male Jedi Master, who lived during the last decades of the Galactic Republic and was most notably responsible for discovering Anakin Skywalker, the Chosen One of the Jedi prophecy, and bringing him into the Jedi Order. An adherent of the Living Force, Jinn always kept his focus in the moment and often clashed with and even openly defied the Jedi High Council. Born in 92 BBY, Qui-Gon Jinn was raised at the Jedi Temple on the galactic capital of Coruscant before being apprenticed at the age of ten to Jedi Knight Dooku. After years of training under Dooku, Jinn achieved the rank of Jedi Knight and—after successfully training a Padawan of his own, a farmer's son named Feemor—became a Jedi Master himself. Shortly after that, Jinn took on a second Padawan, a prodigy named Xanatos, whom Jinn had himself discovered and had brought to the Jedi Temple earlier. Jinn was marveled by his Padawan's prowess so much that he turned a blind eye to Xanatos's flaws, namely his desire for power.

However, Jinn was faced with his Padawan's true nature during a mission to stop a civil war on Xanatos's homeworld of Telos IV. During the mission, Xanatos fell to the dark side of the Force and sided with his father Crion, the power-hungry Governor of the planet, who had orchestrated the insurgency to further his own goals. In order to stop the war, Jinn had to confront Crion, who was accidentally killed in the process. Xanatos fled from the planet, swearing revenge on his Master. Devastated by his apprentice's betrayal, Jinn blamed himself for Xanatos's fall, believing in his inability as a Master and renouncing his earlier success with Feemor. Jinn swore never to take another apprentice, until he crossed paths with a Jedi trainee named Obi-Wan Kenobi during a mission to the planet Bandomeer in 44 BBY. Jinn took Kenobi as his third apprentice, starting their long training together. Over the course of the next twelve years, Jinn and Kenobi participated in numerous missions across the galaxy, most notably fighting side by side against Xanatos, who attempted to exact revenge on his former Master. Ultimately, the fallen apprentice took his own life when cornered by Jinn and his new Padawan on Telos, ending that dark chapter in Jinn's life.

In 32 BBY, Jinn and Kenobi were assigned by Supreme Chancellor Finis Valorum as ambassadors to the Trade Federation, which had recently blockaded the planet Naboo in protest against the recent taxation laws introduced by the Galactic Senate. The Trade Federation, led by Viceroy Nute Gunray, however, attempted to dispose of the Jedi, launching an invasion of Naboo. Escaping to the surface of the planet, Jinn and Kenobi saved the Queen of Naboo, Padmé Amidala, agreeing to escort her to Coruscant in order to report the Trade Federation's act of aggression, but their ship's hyperdrive was damaged, forcing them to make a stop for repairs on the lawless world of Tatooine. It was under the twin suns of Tatooine that Jinn discovered Anakin Skywalker, a young slave boy with great Force potential, who helped the Jedi obtain the money to buy the replacement T-14 hyperdrive generator by risking his life at the Boonta Eve Classic podrace. Convinced that the boy was the Chosen One who was supposed to bring balance to the Force, Jinn secured Skywalker's release from slavery and brought him to the Jedi Temple, narrowly escaping from an attack by the Sith Lord Darth Maul in the process.

Believing that Kenobi was ready to become a Jedi Knight, Jinn asked for Skywalker to be assigned as his new apprentice. However, the Jedi Council refused Jinn's request, believing Skywalker to be too old for Jedi training and potentially dangerous. Jinn then accompanied Amidala back to Naboo, helping her to liberate her world from the Trade Federation. During the battle, Jinn and Kenobi faced off against Darth Maul, and the Jedi Master was struck down by the Sith, before Kenobi cut him in half. With his final words, Jinn asked Kenobi to train Skywalker as his Padawan. Following the battle, Kenobi was promoted to the rank of Jedi Knight, and Skywalker was accepted into the Jedi Order. Kenobi fulfilled his promise to his later Master, training Skywalker for the next ten years. Even though Jinn died on Naboo, he continued to have great influence on the future of the Jedi. Having long ago learned how to preserve one's consciousness with the Force, Jinn remained as a Force ghost, eventually passing the secret to Kenobi and Grand Master Yoda. Even though Skywalker fell to the dark side—becoming the Dark Lord of the Sith Darth Vader and leading to the fall of the Galactic Republic, the rise of the Galactic Empire in its stead and the near-destruction of the Jedi Order—he eventually fulfilled the prophecy just as Jinn had foreseen, killing his Sith Master Darth Sidious and returning to the light in his final moments."
Nute Gunray,191,90,none,mottled green,red,NA,male,Cato Neimoidia,Neimodian,"Nute Gunray was a Neimoidian male who served as a stint Minister of the Trade Federation until he rose in power after the Stark Hyperspace War in 44 BBY, eventually becoming Viceroy of the Trade Federation. In 32 BBY, Gunray participated in the occupation of Naboo with the Federation Army to settle a trade dispute that began in the Galactic Senate. With the help of Darth Sidious, Gunray invaded the planet to end the trade dispute and secured all facilities in the capital of Theed. He attempted to force the incumbent Queen of Naboo Padmé Amidala to sign a treaty to make his invasion legal, however she refused and the Siege of Naboo continued. The Trade Federation soon surrendered to Naboo forces following the Battle of Naboo. Gunray was taken to the Galactic Republic capital on Coruscant to be charged with acts of war.

During the Separatist Crisis that following the Invasion of Naboo, Gunray confronted former Jedi Master, Count Dooku, who began a separatist movement that opposed the Republic. Dooku, who secretly was Sidious's Sith apprentice under the name of Darth Tyranus, helped him through his four trials in the Supreme Court, and soon after the trials, Gunray retained his position as Viceroy. The Trade Federation, under Gunray's command, joined Dooku's separatist movement and Gunray was named Head of the newly formed Separatist Council and so formed the Separatist Army. Gunray, along with Dooku and his master, Sidious, formed the Confederacy of Independent Systems which opposed the Galactic Republic in a three-year war known as the Clone Wars that followed after two years of the Separatist Crisis.

During the Clone Wars, Gunray tempted Onaconda Farr, the senator of Rodia, with an offer to join the Separatists and receive the aid and protection for Rodia that the Republic had failed to provide, in exchange for Farr luring Senator Amidala to the planet and handing her over to him. Gunray's plan ultimately failed and he was captured by the Republic and given to Jedi Master Luminara Unduli and Jedi Padawan Ahsoka Tano. Dooku sent his Dark Jedi apprentice, Asajj Ventress, to rescue the Viceroy from the Republic forces. Stationed inside the Republic Star Destroyer, Senate Commando Faro Argyus released the Viceroy and met up with Ventress in Argyus's cruiser. Argyus was betrayed and murdered by Ventress, however, in a fit of rage over his arrogance.

In 19 BBY, the Separatist Council was moved to the volcanic planet of Mustafar from the sink hole planet of Utapau, after Separatist General Grievous became leader of the CIS after the death of Dooku. Following the death of Grievous at the hands of Obi-Wan Kenobi Nute Gunray became the new leader of the separatists. Gunray along with the other Separatist leaders were betrayed by Darth Sidious after he sent his new apprentice, Darth Vader, to Mustafar to end the war. Gunray was the last council member to be killed by Vader's lightsaber, which had ultimately brought an end to the Clone Wars and fragmented the CIS into various Separatist holdouts, in which they were represented by various ununited warlords across the galaxy."
Finis Valorum,170,NA,blond,fair,blue,91BBY,male,Coruscant,Human,"Finis Valorum was a human male politician from House Valorum who served as the penultimate Supreme Chancellor of the Galactic Republic. His administration was hampered by corruption and bureaucracy in the Galactic Senate, which Valorum was unable to bring under control.

Towards the end of his administration, Valorum attempted to resolve the Trade Federation's Invasion of Naboo to little effect. As a result of government inaction, Queen Padmé Amidala of Naboo called for a Vote of No Confidence in Valorum's leadership. The Senate scheduled an election for a new Chancellor, and Valorum was replaced by Senator Sheev Palpatine of Naboo; Palpatine was secretly Darth Sidious, the Dark Lord of the Sith, and had orchestrated the Naboo Crisis to become Supreme Chancellor and, ultimately, transform the Republic into the Galactic Empire.

During the Clone Wars, over ten years after his political downfall, Valorum assisted the Jedi Order as they investigated the circumstances surrounding the death of Jedi Master Sifo-Dyas, who, as Chancellor, Valorum had sent on a mission to resolve a dispute with the spice dealers known as the Pyke Syndicate. The Jedi learned Sifo-Dyas had been killed by the Pyke Syndicate at the behest of the Sith—who wanted to control the clone army Sifo-Dyas had secretly commissioned for the Republic—during the mission that Valorum had sent him on. After the rise of the Empire, some Coruscanti continued to have fond memories of the former Supreme Chancellor."
