name,eye_color,gender,species,description
Unidentified Gungan villager (Otoh Sancture),NaN,NaN,Gungan,"{{Quote|The time has come to gather the animals for the great feast! Gallo, as is the custom of our peoples, you must go into the forest and find the beasts.|The villager, to Boss Gallo|Star Wars: Galactic Battlegrounds}}[[File:OtohSancture.jpg|thumb|right|200px|Otoh Sancture]]In the [[Standard year/Legends|year]] [[3000 BBY]],&lt;ref name=""EA"" /&gt; a [[Gungan/Legends|Gungan]] villager lived in the [[City/Legends|city]] [[Otoh Sancture]] on the [[Planet/Legends|planet]] [[Naboo/Legends|Naboo]]. The villager lived under the rule of [[Boss/Legends|Boss]] [[Gallo/Legends|Gallo]], who maintained Otoh Sancture's neutrality in a [[War of the Gungan tribes|war]] between the Gungan tribes at that [[Time/Legends|time]]. At some point in the war, Otoh Sancture celebrated its annual [[Sacred Feast]], a thanksgiving celebration to the Gungan [[Deity/Legends|deities]] known as the [[Gud/Legends|Guds]], requiring Gallo to leave [[Sexes/Legends|his]] city to [[Hunting/Legends|hunt]] animals suitable for the feast. The Gungan villager told the Boss of his duties in finding animals shortly before his departure.&lt;ref name=""GB"" /&gt;While Gallo was away, Otoh Sancture was [[Destruction of Otoh Sancture|attacked]] by a [[Bursa clan (Otoh Sancture)|tribe]] of [[Bursa/Legends|bursas]], a [[Sentience/Legends|semi-sentient]], carnivorous [[Species/Legends|race]] of quadrupeds native to Naboo. The bursas had been sent by [[Rogoe]], the Boss of the city [[Spearhead]] and the secret manipulator of the war, who wanted Gallo [[Death/Legends|dead]] to ensure he could not take a side in the war and swing its tide. The Gungan villager cried out for help in the attack, which Gallo heard, but the Boss was unable to reach Otoh Sancture because of a [[Unidentified river|river]] between his location and the city. The villager perished along with the rest of Otoh Sancture's residents.&lt;ref name=""GB"" /&gt;"
C fire 4,NaN,NaN,NaN,C fire 4 did not manage to pull his fighter out of a dive and crashed during the battle.
Toma Hi'llani,NaN,NaN,NaN,"A [[Force-sensitive/Legends|Force-sensitive]], Toma Hi'Ilani was [[Jedi training/Legends|educated]] in the ways of [[The Force/Legends|the Force]] by the [[Jedi Order/Legends|Jedi Order]], eventually ascending to the rank of [[Jedi Master/Legends|Jedi Master]]. Training independently as a [[Jedi Sentinel|Sentinel]], Master Hi'Ilani became one of the Order's foremost [[Technician/Legends|technical]] authorities on galactic state-of-the-art technologies.Stationed at the [[Jedi Temple]] on [[Coruscant/Legends|Coruscant]] during the [[Separatist Crisis/Legends|Separatist Crisis]], it was common for [[Jedi Knight/Legends|Jedi Knights]] serving in the field to keep their [[Datapad/Legends|datapads]] updated with Master Hi'Ilani's latest techniques.In [[24 BBY/Legends|24 BBY]], Jedi [[Obi-Wan Kenobi/Legends|Obi-Wan Kenobi]] utilized Hi'Ilani's methods during his [[mission to Romin]] with his [[Padawan/Legends|Padawan]] [[Anakin Skywalker/Legends|Anakin Skywalker]] and other Jedi in their pursuit of galactic criminal [[Jenna Zan Arbor]].&lt;ref name=""COTG"" /&gt;"
Bashinan Hodizwen,NaN,NaN,NaN,"A [[Jedi Knight/Legends|Jedi Knight]] during the last [[Standard year/Legends|years]] of the [[Galactic Republic/Legends|Galactic Republic]], Bashinan Hodizwen was [[Jedi training/Legends|trained]] by the [[Jedi Order/Legends|Jedi Order]] in the ways of [[The Force/Legends|the Force]]. Pursuing the teachings of the [[Jedi Consular]] during independent study as a Knight, Hodizwen became a noted [[Jedi Lore Keeper|Lore Keeper]], and was considered a scholar by many within the Order.&lt;ref name=""HNN"" /&gt;During the [[Separatist Crisis/Legends|Separatist Crisis]], conflicting reports emerged regarding the identity of the [[Confederacy of Independent Systems/Legends|Confederacy of Independent Systems]]' leader, the mysterious [[Count/Legends|Count]] [[Dooku/Legends|Dooku]] of [[Serenno/Legends|Serenno]]. While the High Council remained tight-lipped on the subject, reporters from the [[HoloNet News/Legends|HoloNet News]] network were able to interview Hodizwen, who gave brief insight into former [[Jedi Master/Legends|Jedi Master]] Dooku's personal interests. Citing Dooku's fascination with antiquities from across [[The galaxy/Legends|the galaxy]] as reason for Dooku's appearance in the [[Gree Enclave/Legends|Gree Enclave]], Hodizwen did not comment further on the Count's sudden return from self-imposed exile.&lt;ref name=""HNN"" /&gt;"
Dovish Hokken,NaN,NaN,NaN,"Dovish Hokken was a [[Force-sensitive/Legends|Force-sensitive]] member of the [[Jedi Order/Legends|Jedi Order]], [[Jedi training/Legends|trained]] in the ways of [[The Force/Legends|the Force]]. Eventually passing the [[Jedi Trials/Legends|Trials of Knighthood]], Hokken was raised to the rank of [[Jedi Knight/Legends|Jedi Knight]] by the [[Jedi High Council/Legends|Jedi High Council]].&lt;ref name=""HNN"" /&gt;When the [[Separatist Crisis/Legends|Separatist Crisis]] broke out between the [[Galactic Republic/Legends|Galactic Republic]] and the [[Confederacy of Independent Systems/Legends|Confederacy of Independent Systems]], Hokken was called before the High Council to accept a mission. The Council informed Hokken that the Confederacy had been in contact with the [[Pirates of Iridium]] in the [[Atrivis sector/Legends|Atrivis sector]] and were planning to steal shipments of [[Spice/Legends|spice]] from a host of Republic convoys. Under the leadership of [[Jedi Master/Legends|Jedi Masters]] [[Kit Fisto/Legends|Kit Fisto]] and [[Belsed-Qan Idan]], Hokken and several other Jedi accompanied a task force of [[Judicial Department/Legends|Judicial Department]] [[Judicial/Legends|agents]] aboard the [[Consular-class cruiser|Republic cruiser]] ''[[Monitor III]]''. Protected by a number of [[Delta-7 Aethersprite-class light interceptor/Legends|Jedi-piloted starfighters]], the Jedi were ambushed immediately after coming out of [[Hyperspace/Legends|hyperspace]].&lt;ref name=""HNN"" /&gt;Surprised by the Pirates' powerful weaponry, augmented by their unique [[Power gem|gem technology]], the ''Monitor III'' sustained heavy damage, killing many Judiciaries and three Jedi Knights. Among the dead were Jedi [[Aruden Kej]], [[Yrada Soludisan]], and Dovish Hokken. The ''Monitor III'' survived the skirmish and was able to return to Coruscant without any further causalities, though the mission was deemed a failure.&lt;ref name=""HNN"" /&gt;"
Homack,NaN,NaN,NaN,"{{Quote|Almost in unison, we turned on those excluders. Shredder bats literally fell out of the sky as their senses got scrambled.|Homack|Gundark's Fantastic Technology: Personal Gear}}Homack was a member of the [[Alliance to Restore the Republic/Legends|Alliance to Restore the Republic]] and a [[Pilot/Legends|pilot]]. While flying an [[T-65 X-wing starfighter/Legends|X-wing]], the pilot was involved in an engagement over the planet [[Atrivis]], and was shot down. Pursued on the planet's surface by [[storm commando]]s,&lt;ref name=""GFT50"" /&gt; elite [[Stormtrooper/Legends|stormtrooper]] units specially trained in commando tactics,&lt;ref name=""Rules of Engagement 102""&gt;''[[Rules of Engagement: The Rebel SpecForce Handbook]]'', p. 102&lt;/ref&gt; Homack was able to successfully evade them with the help of a set of [[Creshaldyne Industries/Legends|Creshaldyne Industries]] [[camo scout armor]]. Stored in the starfighter's survival gear kit, the suit was capable of mimicking surrounding terrain by generating a small holographic distortion, thus enabling Homack to avoid capture long enough to steal a ship and escape the planet.&lt;ref name=""GFT50"" /&gt;[[File:Shredder bat.jpg|thumb|right|Shredder bats, such as these, attacked Homack while on the planet Hethar.]]On another mission, this time to the planet [[Hethar]], Homack and a number of other Rebels were investigating an Imperial contingent. Spending a night on the planet, Homack was on night duty with three other Rebels when they were attacked by [[shredder bat]]s.&lt;ref name=""GFT79""&gt;''[[Gundark's Fantastic Technology: Personal Gear]]'', p. 79&lt;/ref&gt; The creatures, known to hunt in packs, were armed with sharp fangs with which they tried to pierce their target's coronary arteries.&lt;ref name=""Creatures of the Galaxy 65""&gt;''[[Creatures of the Galaxy]]'', p. 65&lt;/ref&gt; Homack and the sentries were able to avoid such an attack by activating their [[Merr-Sonn Munitions, Inc./Legends|Merr-Sonn]] [[Excluder]]s. Small sonic devices that emitted waves of high frequency sound, they scrambled the bats' senses, causing them to fall from the sky. The sentries were then able to kill the creatures without drawing Imperial attention, or even waking the other Rebels. The bats were later enjoyed as breakfast the next day.&lt;ref name=""GFT79"" /&gt;After retiring from the Rebellion, Homack posted a number of comments and reviews on equipment in [[8 ABY/Legends|8 ABY]]. Three of these made their way into ''[[Gundark's Gear Datalog]]''. For instance, when discussing the [[A3AA personal defense module]] created by [[Corellian Technologies]], Homack recommended using [[Grenade/Legends|grenades]] or [[Slugthrower/Legends|slugthrowers]] to overcome the suit dissipation field.&lt;ref name=""Gundark's Fantastic Technology 48""&gt;''[[Gundark's Fantastic Technology: Personal Gear]]'', p. 48&lt;/ref&gt;"
C. Drover,NaN,NaN,NaN,"During the [[Clone Wars/Legends|Clone Wars]], Drover sent an internal memo to [[Osten Dal'Nay]], the leader of the Militia, concerning the creation of [[Division Cloud Force]], a military unit that was specialized for operations on the gas [[Planet/Legends|planet]] [[Genarius]]. The memo was later leaked to the press and Dal'Nay denied that Drover even existed, when asked about the memo."
Horororibb,NaN,NaN,NaN,"A [[Force-sensitive/Legends|Force-sensitive]], Horororibb was inducted into the [[Jedi Order/Legends|Jedi Order]] and received [[Jedi training/Legends|training]] in the ways of [[The Force/Legends|the Force]] at the [[Coruscant/Legends|Coruscant]] [[Jedi Temple]]. When the [[Clone Wars/Legends|Clone Wars]] erupted between the [[Galactic Republic/Legends|Galactic Republic]] and the [[Confederacy of Independent Systems/Legends|Confederacy of Independent Systems]], Horororibb remained at the Temple and participated in the [[19 BBY/Legends|19 BBY]] [[Jedi Temple Apprentice Tournament]]. Administrated by Master [[Ilena Xan]], Horororibb competed against fellow Initiate [[Boofer]] in the first round.&lt;ref name=""YDR"" /&gt;"
Farh j'Hien,NaN,NaN,NaN,"J'Hien served the [[Sith/Legends|Sith]] as a [[General/Legends|general]]. The [[Jedi Master/Legends|Jedi Master]] [[Kei Loo Bross]] captured a [[Unidentified Sith warrior|Sith warrior]] who was bonded to j'Hien through Sith battlelord rituals and included the warrior's description of j'Hien in his work, ''[[Speculations on Tactics of the Sith]]''."
Nanda-Ree Janoo,NaN,NaN,NaN,"A [[Force-sensitive/Legends|Force-sensitive]] being, Nanda-Ree Janoo was a member of the [[Jedi Order/Legends|Jedi Order]], which taught Janoo the ways of [[The Force/Legends|the Force]]. After passing the [[Jedi Trials/Legends|Trials of Knighthood]], Janoo was elevated to the rank of [[Jedi Knight/Legends|Jedi Knight]].&lt;ref name=""TCSWE"" /&gt;When the [[Clone Wars/Legends|Clone Wars]] erupted across [[The galaxy/Legends|the galaxy]] between the [[Galactic Republic/Legends|Galactic Republic]] and the [[Confederacy of Independent Systems/Legends|Confederacy of Independent Systems]], Janoo became a [[Jedi General/Legends|General]] within the ranks of the [[Grand Army of the Republic/Legends|Grand Army of the Republic]]. At some point during the conflict, Janoo was assigned to work with [[Jedi Master/Legends|Jedi Master]] [[Obi-Wan Kenobi/Legends|Obi-Wan Kenobi]] in leading a task force to the [[Planet/Legends|planet]] of [[Balamak/Legends|Balamak]] in order to destroy an experimental communications jamming array. During the [[Battle of Balamak/Legends|battle]] above the world, Janoo piloted a [[Jedi starfighter|starfighter]] against the CIS fleet. After fellow Jedi [[Anakin Skywalker/Legends|Anakin Skywalker]] destroyed the array, the Republic forces returned to [[Coruscant/Legends|Coruscant]].&lt;ref name=""TCSWE"" /&gt;"
Jaxa,NaN,NaN,NaN,"When the [[Galactic Empire/Legends|Galactic Empire]] cracked down on [[Ralltiir/Legends|Ralltiir]], Bettle and Jaxa became one of many groups of smugglers who attempted to run the blockade.&lt;ref name=""SWAJ3""&gt;{{Journal|3|Galaxywide NewsNets}}&lt;/ref&gt; However, that venture didn't pan out, and they began marketing [[Slugthrower/Legends|slugthrowers]] to warring species located beyond the [[Corporate Sector/Legends|Corporate Sector]]; this job was more successful, and they brought back a full cargo of [[canta salt]] and [[havao tabacc]], though the ''Mallixer'' was damaged in the process.&lt;ref name=""SWAJ5""&gt;{{Journal|5|Galaxywide NewsNets}}&lt;/ref&gt;Eventually, however, Bettle insisted on aiding the [[Alliance to Restore the Republic/Legends|Alliance to Restore the Republic]], beginning by restarting their gunrunning venture to Ralltiir. Jaxa was quite unhappy with the risk, an unhappiness that was exacerbated by the near-capture of the ''Mallixer'' by Imperial forces&lt;ref name=""SWAJ10""&gt;{{Journal|10|Galaxywide NewsNets}}&lt;/ref&gt;; this unhappiness apparently led to the two splitting up for a while, though they soon worked out their disagreements and were operating as a team again to make the ""[[Spirva Run]],"" smuggling items from [[Galladinium's Galactic Datalog of Fantastic Technology|Galladinium's Datalog]] to rioters in [[Spirva sector/Legends|Spirva sector]].&lt;ref name=""SWAJ14""&gt;{{Journal|14|Galaxywide NewsNets}}&lt;/ref&gt; During their career, the pair visited at least thirty-four [[Shadowport/Legends|shadowports]] around the galaxy.&lt;ref name=""DarkStryder""&gt;''[[The DarkStryder Campaign]]''&lt;/ref&gt;Bettle got caught up in the Rebellion itself, working with her father [[Jerell]] in the Ralltiir resistance; it is unknown if Jaxa was talked into this as well, or if Bettle and Jaxa went their separate ways for a time. Eventually, Ralltiir fell to [[New Republic/Legends|New Republic]] forces, and the team of Bettle and Jaxa returned to the smuggling profession.&lt;ref name=""Heroes""&gt;''[[Heroes &amp; Rogues]]''&lt;/ref&gt;During the [[Thrawn campaign]], [[Talon Karrde]] formed an organization known as the [[Smugglers' Alliance]], and Bettle and Jaxa eventually joined it. When the New Republic declared the [[Moruth Doole]] regime of [[Kessel/Legends|Kessel]] to be illegitimate, the Smugglers' Alliance was cleared to occupy the world; Bettle and Jaxa were responsible for developing preliminary distribution plans for the [[Glitterstim/Legends|glitterstim]] market.&lt;ref name=""JASB"" /&gt;"
J. Johnston,NaN,NaN,NaN,"This individual worked on the [[Avenger/Legends|''Avenger'']]{{'s}} design, as well as on the [[X-34 landspeeder/Legends|X-34 landspeeder's]] design, the [[T-65 X-wing starfighter/Legends|T-65 X-wing starfighter's]] design, and the basic design of the [[YT-1300 light freighter/Legends|YT-1300 light freighter]] that became the [[Millennium Falcon/Legends|''Millennium Falcon'']]."
Jonoin,NaN,NaN,NaN,"Jonoin was an individual who served the [[Galactic Republic/Legends|Galactic Republic]] as an [[Admiral/Legends|admiral]] in the [[Republic Navy/Legends|Republic Navy]] during the [[Clone Wars/Legends|Clone Wars]],&lt;ref name=""Point Blank"" /&gt; an [[The galaxy/Legends|intergalactic]] conflict that was fought between the Republic and the [[Confederacy of Independent Systems/Legends|Confederacy of Independent Systems]].&lt;ref name=""TCWCG""&gt;''[[The Clone Wars Campaign Guide]]''&lt;/ref&gt; Sometime near the end of the war, Jonoin commanded Republic forces during an [[Battle of Garia|attack]] on a [[Separatist base  (Garia)|Confederate base]] that was located on the [[Planet/Legends|planet]] [[Garia]], in the [[Brak sector]]. Jonoin's forces carried out an [[Orbital bombardment/Legends|orbital bombardment]] of the base, but the strike was unsuccessful because the base was protected by [[Ray shield/Legends|energy shields]]. The Admiral was therefore forced to alter the battle plan. Jonoin contacted all of the Republic units participating in the attack and ordered a ground assault on the base's control center to destroy the [[Droid/Legends|droids]] stationed there and shut down the [[Deflector shield/Legends|shield]].&lt;ref name=""Point Blank"" /&gt;Republic ground forces landed on Garia, and a number of [[All Terrain Tactical Enforcer/Legends|AT-TE]] [[Walker/Legends|walkers]] began to approach the command center. However, Confederacy fire inflicted heavy damage onto the walkers, so Jonoin ordered a group of Republic [[Commander/Legends|commanders]] to assist the lead AT-TE, which had been rendered immobile near the base.&lt;ref name=""Point Blank"" /&gt;"
Kaj,NaN,NaN,NaN,"In around [[20 BBY/Legends|20 BBY]],&lt;ref name=""20 BBY""&gt;The ''[[Living Force Campaign Guide]]'' states that the [[Living Force (RPG)|''Living Force'']] campaign is set one [[Standard year/Legends|year]] after the [[Invasion of Naboo/Legends|Invasion of Naboo]], an event that is dated to [[32 BBY/Legends|32 BBY]] by ''[[The New Essential Chronology]]''. As the ''Living Force'' adventure ''[[Philology]]'' [[Cularin's disappearance|moved]] the campaign forward ten years to the [[Time/Legends|time]] of the [[Clone Wars/Legends|Clone Wars]], and the adventure ''[[Night's Homecoming]]'' established that by Year 4 of the campaign over a year had elapsed since the events of ''Philology'', ''[[A Mon Alone]]'' can therefore be dated to circa [[20 BBY/Legends|20 BBY]].&lt;/ref&gt; as a child, Kaj was captured along with three fellow Tarasin children, [[Tiscak]], [[Honna]] and [[Li'Iri]], due to their innate Force-sensitivity. Their captor, [[Chevin/Legends|Chevin]] slaver [[Phylus Mon]], jailed them in a cell in his slave zoo aboard the ''[[Animiasma]]''. He also flogged all of the children with his three-tailed barbed whip.Their disappearance did not go unnoticed: Jedi Master [[Lanius Qel-Bertuk]] knew of the kidnappings, and even suspected Phylus Mon, but still could do nothing to rescue them.The children were kept in the cell, the only Force-sensitives in the zoo. They instinctively disliked fellow prisoner [[Halin Bok]]. Honna also managed to communicate with the [[Mantellian Savrip/Legends|Mantellian Savrips]] in another cell, [[Clu]], [[Taf]] and [[Mev (Savrip)|Mev]]. The Savrip promised to go through the energy bars to rescue the children should anyone try to take them against their will. Honna was scared of that, because the energy bars could easily kill the Savrips should they ever attempt that.Phylus Mon surgically inserted an explosive near the heart of each of his slaves. The explosive would be activated in the case of Phylus Mon's death, but it could also be deactivated with the impact of an [[Ion gun|ion weapon]]. All the slaves in Phylus Mon's zoo were also regularly battered."
Kallic,NaN,NaN,NaN,"Kallic was an [[Imperial Navy/Legends|Imperial Navy]] [[Imperial officer/Legends|officer]] during the [[Galactic Civil War/Legends|Galactic Civil War]] who served aboard the [[Executor-class Star Dreadnought/Legends|Super Star Destroyer]] [[Executor/Legends|''Executor'']],&lt;ref name=""CSWE"" /&gt; the personal [[Flagship/Legends|flagship]] of&lt;ref name=""Piett Databank""&gt;{{DB|character|admiralpiett|Piett, Admiral|archivedate=20110517074252}}&lt;/ref&gt; the [[Dark Lord of the Sith/Legends|Dark Lord of the Sith]] [[Anakin Skywalker/Legends|Darth Vader]].&lt;ref name=""Temporary Reassignment""&gt;{{WEGCite|book=Shadows of the Empire Sourcebook|story=Temporary Reassignment|stext=''Temporary Reassignment''}}&lt;/ref&gt; After Vader [[Death/Legends|executed]] [[Sexes/Legends|his]] flagship's former [[Commanding officer/Legends|commander]], [[Fleet Admiral/Legends|Admiral]] [[Kendal Ozzel/Legends|Kendal Ozzel]], for incompetence during the [[Battle of Hoth/Legends|Battle of Hoth]]&lt;ref name=""Piett Databank"" /&gt; in [[3 ABY/Legends|3 ABY]],&lt;ref name=""NEC""&gt;''[[The New Essential Chronology]]''&lt;/ref&gt; the Dark [[Lord/Legends|Lord]] promoted [[Captain/Legends|Captain]] [[Firmus Piett/Legends|Firmus Piett]] to [[Admiral/Legends|admiral]]. In turn, the ''Executor''{{'s}} captaincy soon passed to [[Lieutenant/Legends|Lieutenant]] [[Venka]], whom Kallic eventually succeeded as captain of the ''Executor''.&lt;ref name=""Piett Databank"" /&gt;Shortly after the [[Hoth/Legends|Hoth]] campaign, Kallic was given temporary command of the ''Executor''&lt;ref name=""CSWE"" /&gt; at Vader's request&lt;ref name=""Vader: The Ultimate Guide""&gt;''[[Vader: The Ultimate Guide]]''&lt;/ref&gt; while the Dark Lord returned to&lt;ref name=""Temporary Reassignment"" /&gt; the [[Galactic Empire/Legends|Imperial]] [[Capital/Legends|capital]] [[Planet/Legends|planet]]&lt;ref name=""SOTE Sourcebook""&gt;''[[Shadows of the Empire Sourcebook]]''&lt;/ref&gt; of [[Coruscant/Legends|Coruscant]]. [[Galactic Emperor/Legends|Emperor]] [[Palpatine/Legends|Palpatine]] had personally recalled Vader to make his report&lt;ref name=""Temporary Reassignment"" /&gt; concerning his [[Duel on Cloud City/Legends|failed conversion]] of the [[Jedi/Legends|Jedi]] [[Luke Skywalker/Legends|Luke Skywalker]] to the [[Dark side of the Force/Legends|dark side of the Force]] on [[Bespin/Legends|Bespin's]] [[Cloud City/Legends|Cloud City]].&lt;ref name=""SOTE Sourcebook"" /&gt; With Kallic escorting Vader to Coruscant, Admiral Piett remained with the [[Death Squadron/Legends|Imperial Death Squadron]], Vader's [[Star Destroyer/Legends|Star Destroyer]] [[Fleet/Legends|fleet]], to continue the Empire's hunt for the [[Alliance to Restore the Republic/Legends|Rebel Alliance]]. Once Vader's business on Coruscant concluded, Kallic was scheduled to relinquish command of the ''Executor'' back to Piett.&lt;ref name=""Temporary Reassignment"" /&gt;"
Karsim,NaN,NaN,NaN,"{{Quote|They were good soldiers. Far better than any of the others I've had under my command.|Sergeant Rusk|Star Wars: The Old Republic}}A [[Soldier/Legends|soldier]] in the [[Republic Army]] during the [[Great Galactic War]] with the [[Sith Empire (Post–Great Hyperspace War)|Sith Empire]],&lt;ref name=""Bad Intel"" /&gt; Karsim&lt;ref name=""Vanished""&gt;{{TORcite|type=conversation|Sergeant Rusk|Vanished}}&lt;/ref&gt; served in a [[Surgeons|squad]] under the [[Commander/Legends|command]] of the [[Chagrian/Legends|Chagrian]] [[Sergeant/Legends|Sergeant]] [[Fideltin Rusk]], and its first [[Attack on an Imperial outpost|mission]] was to free several [[Galactic Republic/Legends|Republic]] [[Prisoner/Legends|prisoners]] of war from an [[Imperial outpost (prison camp)|Imperial outpost]]. However, intelligence on the mission was incorrect, forcing the [[Squad/Legends|squad]] to fight through more enemy forces than it expected. Despite its disadvantage, the squad was able to rescue all of the prisoners and escape with heavy injuries, without a single [[Death/Legends|fatality]].&lt;ref name=""Bad Intel"" /&gt; In the [[Standard year/Legends|years]] following that mission, Karsim was among the squad members who were recruited into the [[Republic Special Forces Division]]'s [[Special Forces black ops program|black ops program]], and the squad&amp;mdash;which included fellow veterans [[Naja]] and [[Eckerd]]&amp;mdash;was tasked with the [[Assassin/Legends|assassination]] of Imperial leaders by [[General/Legends|General]] [[Elin Garza]]. The squad, which became known as the ""Surgeons,"" soon began to go after its targets' families. Karsim and the others were arrested for war crimes and [[Prison/Legends|imprisoned]] in a [[Berrun detention center|detention center]] on the [[Planet/Legends|planet]] [[Berrun]] with life sentences.&lt;ref name=""The Surgeons"" /&gt;"
Ludwin Katarkus,NaN,NaN,NaN,"Ludwin Katarkus became a member of the [[Jedi Order/Legends|Jedi Order]] and was [[Jedi training/Legends|trained]] in the ways of [[The Force/Legends|the Force]]. Katarkus eventually passed the [[Jedi Trials/Legends|Jedi Trials]] and was [[Knighting ceremony/Legends|knighted]] by the [[Jedi High Council/Legends|Jedi High Council]]. Further pursuits of knowledge of the Force earned Katarkus the rank of [[Jedi Master/Legends|Jedi Master]]. At some point later, Katarkus chose a [[Jedi Initiate|Jedi initiate]] named [[Danyawarra]] as his [[Padawan/Legends|Padawan]].&lt;ref name=""HNN45"" /&gt;In [[23 BBY/Legends|23 BBY]], the High Council assigned Katarkus to mediate the ongoing [[Virgillian Civil War]] between the [[Virgillian Free Alignment/Legends|Virgillian Free Alignment]] and the [[Aristocracy]]. Consisting of two Master-Padawan teams, the diplomatic envoy was made up of Katarkus and Danyawarra, and Master [[Everen Ettene]] and [[Halagad Ventor]]. As the [[Shuttle/Legends|shuttle]] carrying the Jedi envoy entered [[Virgillia 7]]'s orbit and touched down on the [[Planet/Legends|planet's]] surface, it was attacked by terrorists and destroyed. After receiving no word from the diplomatic team for three months, the High Council announced that it presumed the Jedi to be [[Death/Legends|dead]] and would be holding [[Jedi funeral/Legends|memorial services]] for them within the Temple's walls.&lt;ref name=""HNN45"" /&gt;Both Danywarra and Ventor actually survived the attack and rejoined the Order, serving as [[Jedi Commander/Legends|commander]] and [[Jedi General/Legends|general]] respectively in the [[Grand Army of the Republic/Legends|Grand Army of the Republic]] during the [[Clone Wars/Legends|Clone Wars]].&lt;ref name=""HNN45"" /&gt;"
Aruden Kej,NaN,NaN,NaN,"A [[Force-sensitive/Legends|Force-sensitive]] being, Aruden Kej was inducted into the ranks of the [[Jedi Order/Legends|Jedi Order]] and [[Jedi training/Legends|trained]] in the ways of [[The Force/Legends|the Force]]. Over time, Kej attained the rank of [[Jedi Knight/Legends|Jedi Knight]]. As a Knight of the [[Galactic Republic/Legends|Galactic Republic]], Kej continued his studies of the Jedi Path, choosing to pursue the way of the [[Jedi Guardian]]. Becoming an [[Jedi ace|ace pilot]] within the Order's [[Jedi Starfighter Corps|starfighter corps]], Kej was a well respected Jedi.&lt;ref name=""HNN49"" /&gt;Active during the [[Separatist Crisis/Legends|Separatist Crisis]] between the [[Galactic Republic/Legends|Galactic Republic]] and the [[Confederacy of Independent Systems/Legends|Confederacy of Independent Systems]], Kej was assigned to a strike force sent to deal with the [[Pirates of Iridium]] which were harrying the [[Atrivis sector/Legends|Atrivis sector]]. Under the leadership of Masters [[Belsed-Qan Idan]] and [[Kit Fisto/Legends|Kit Fisto]], Kej piloted a [[Delta-7 Aethersprite-class light interceptor/Legends|Delta-7 interceptor]] amongst the Republic diplomatic fleet, hoping to encourage a non-violent solution.However, as the [[Consular-class cruiser|Republic cruiser]] the ''[[Monitor III]]'' moved into the sector, the fleet was attacked by the [[Pirate/Legends|pirates]]. Engaging the Pirates' [[2 Warpod|warpod]] pinnaces, [[Longprow attack cruiser]]s, and [[Z-95 Headhunter/Legends|Z-95 Headhunter]] starfighters, Kej and five other Jedi were able to beat back the marauders and saved the ''Monitor III'' from utter destruction. While the pirates were defeated in the end, Kej was killed in a dogfight with a Z-95 Headhunter while making an attack run on the Longprow cruisers.&lt;ref name=""HNN49"" /&gt;"
Kep-She/Legends,NaN,NaN,NaN,"[[File:Trench headshot.png|thumb|right|180px|Admiral Trench, Kep-She's adversary at the Battle of Malastare Narrows]]Kep-She was a [[Force-sensitive/Legends|Force-sensitive]] individual who lived during the waning [[Standard year/Legends|years]] of the [[Galactic Republic/Legends|Galactic Republic]]. Kep-She was [[Jedi training/Legends|trained]] by the [[Jedi Order/Legends|Jedi Order]] and eventually reached the rank of [[Jedi Master/Legends|Jedi Master]].&lt;ref name=""Cat and Mouse Ep Guide""&gt;{{SWArchive|url=theclonewars/guide/episode216.html|text=''The Clone Wars'' Episode Guide: Cat and Mouse|archivedate=20110713001323}}&lt;/ref&gt; In [[34 BBY/Legends|34 BBY]],&lt;ref name=""EGW""&gt;''[[The Essential Guide to Warfare]]''&lt;/ref&gt; a [[Corporate fleet (Malastare)|corporate fleet]] under the command of the [[Harch/Legends|Harch]] [[Admiral/Legends|Admiral]] [[Trench/Legends|Trench]] [[Blockade/Legends|blockaded]] the Republic [[Planet/Legends|planet]] [[Malastare/Legends|Malastare]].&lt;ref name=""TCWCM"" /&gt; Kep-She was dispatched to the planet as a military ""observer,"" along with several [[Officer/Legends|officers]] like the capable [[Wullf Yularen/Legends|Wullf Yularen]].&lt;ref name=""EGW"" /&gt; Later, after Trench had repelled a Republic [[Fleet/Legends|fleet]] under the command of Yularen,&lt;ref name=""TCWCM"" /&gt; Master Kep-She&lt;ref name=""Cat and Mouse Ep Guide"" /&gt; was assigned to lead a Republic task force to end the blockade.&lt;ref name=""TCWCM"" /&gt;The [[Battle of Malastare Narrows/Legends|Battle of Malastare Narrows]] claimed many Republic lives and [[Starship/Legends|ships]], but Kep-She's task force managed to destroy [[Trench's flagship/Legends|Trench's flagship]], breaking the corporate blockade and supposedly [[Death/Legends|killing]] the Harch Admiral. Admiral Trench escaped and survived, and joined the [[Confederacy of Independent Systems/Legends|Separatists]] during the [[Clone Wars/Legends|Clone Wars]].&lt;ref name=""TCWCM"" /&gt;"
